Point;LatLng
4201;40.4140019,56.1700947
4202;36.4709969,50.7868019
4203;60.2158834,59.7650618
4204;37.7533377,50.7106926
4205;39.8844708,57.6260744
4206;40.9651560,56.9728440
4207;41.0126979,56.9937129
4208;84.9923200,56.4706189
4209;40.3937410,56.1478540
4210;43.0396360,44.0498933
4211;39.8426870,57.6553490
4212;30.4561300,59.9617950
4213;30.279545,59.848688
4214;53.2089178,56.8789461
4216;61.3962723,55.1963983
4217;30.3371321,59.8914245
4218;37.5921650,55.8736620
4219;40.3805800,56.1505500
4220;30.4685712,59.9564489
4222;41.2984979,57.3791260
4223;34.2885689,61.8055526
4224;37.5207430,55.9022760
4225;32.1934020,52.3808581
4226;50.8339029,61.6478508
4227;42.0457001,44.1915115
4228;42.0457001,44.1915115
4229;38.6477250,55.7870150
4230;29.871771,59.856585
4231;30.3995150,60.0418250
4232;30.3995150,60.0418250
4233;40.9766453,57.0050671
4234;40.9686030,57.7784990
4235;30.3647650,59.8606043
4236;39.8962561,59.2457264
4237;34.9690756,57.0359338
4238;39.8430120,57.6659714
4239;38.8116968,58.0574860
4240;30.4145121,59.9423672
4241;39.8844708,57.6260744
4242;38.8999544,55.5777150
4244;40.9698928,57.7774816
4245;47.1451332,61.3115721
4246;39.9377447,47.7688151
4247;41.7956828,48.3573459
4248;38.8902603,56.7470480
4249;30.1917067,61.5212001
4250;37.8772060,56.0502620
4251;39.8844708,57.6260744
4252;34.1577149,59.5196213
4253;39.1531370,51.6641360
4254;40.9787070,57.7811090
4255;36.7378162,55.3946756
4256;28.760274,60.711916
4257;36.2888240,54.4990290
4258;37.7627330,55.7570630
4259;38.244404,55.568349
4260;38.0315380,55.6171110
4262;30.4480695,59.9527084
4263;39.3975909,57.1929144
4264;30.3302938,59.8836036
4265;39.8688894,47.2704544
4266;60.6142660,56.7727780
4267;36.1344300,51.7568264
4268;59.0016233,53.4129429
4270;30.3160980,59.8614030
4272;59.0016233,53.4129429
4273;37.6234961,54.1647455
4274;30.3816819,59.8812714
4275;33.9418851,58.3944799
4276;39.8623640,57.6585500
4277;41.0376410,56.9885190
4278;34.3456930,61.7767280
4279;39.886991,57.595668
4280;41.7340479,57.1072660
4281;40.9698928,57.7774816
4282;41.0386370,56.9937580
4283;29.8980962,58.7255576
4284;65.5250172,57.1612975
4285;65.5250172,57.1612975
4286;39.6156290,47.2371550
4287;37.5760710,55.8459120
4288;37.5071010,55.8968627
4289;30.6644348,61.6814287
4290;37.8025012,55.6575421
4292;39.0403252,46.5435054
4294;40.5397375,56.8589886
4295;38.2702941,46.6825784
4296;57.749402, 40.980044
4297;35.8635221,56.8615701
4298;39.8254340,59.2050890
4299;39.8978052,59.2180665
4300;60.6057025,56.8389261
4301;30.3895090,59.8591530
4302;42.1097724,61.0695214
4303;40.9766453,57.0050671
4304;39.7647039,54.6191379
4305;39.8844708,57.6260744
4306;38.7120370,56.3947309
4307;41.7033737,57.0941925
4308;37.280543,45.000243
4309;37.3186871,44.9407852
4310;40.9766453,57.0050671
4311;31.2611840,58.5520560
4312;30.5162288,56.3295068
4313;39.2191479,45.2249000
4314;46.6618007,61.2468493
4315;30.3350986,59.9342802
